Se alguém lhe apresentar mais de um motivo pelo qual deseja o emprego, não o contrate.	Um motivo robusto tem apenas 1 item. Acima disso indica que os motivos não são tão verdadeiros.	A cama de Procusto	Taleb, Nassim Nicholas
"Além disso, a biologia desempenha um papel fundamental em um ambiente municipal, mas não em um sistema maior. Uma administração está protegida de ter de sentir o peso da vergonha (com rubor no rosto), uma reação biológica ao excesso de gastos e outros fiascos — matar pessoas no Vietnã, por exemplo. O contato visual de uma pessoa com seus pares muda o comportamento dela. Mas, para um parasita de escritório preso a uma mesa de trabalho, um número é apenas um número. Aquela pessoa que você encontra na igreja no domingo de manhã se sentiria incomodada com os erros que cometeu — e mais responsável por eles. Na escala pequena e local, o corpo e a resposta biológica dessa pessoa a orientariam a evitar causar danos aos outros. Em grande escala, os outros são itens abstratos; dada a falta de contato social com as pessoas envolvidas, quem comanda é o cérebro do funcionário público e não as emoções dele"	Em sistemas menores, você se policia com suas ações, pois a consequência é sentida na pele, na reação das pessoas ao redor.	Antifrágil	Taleb, Nassim Nicholas
Perceba também que a previsibilidade no Extremistão é muito baixa. No segundo tipo de aleatoriedade, que aparenta ser suave, os erros parecem ser raros, mas eles serão grandes, não raro devastadores, quando ocorrerem. Na verdade, um argumento que desenvolvemos no Livro IV é que qualquer coisa que estiver presa ao planejamento tende a fracassar justamente por causa desses atributos	Tudo que é protegido da volatilidade e aleatoriedade da vida não esta isento dessa volatilidade, ela apenas virá em maior escala O planejamento de longo prazo mascara as pequenas inconsistências, acumulando-as até ao ponto em que elas explodem.	Antifrágil	Taleb, Nassim Nicholas
Vimos que a ausência de fogo permite o acúmulo de material altamente inflamável. As pessoas ficam chocadas e indignadas quando lhes digo que a ausência de instabilidade política, até mesmo da guerra, possibilita que sob a superfície se acumulem materiais e tendências explosivos.	Pequenos focos de fogo esporádicos reduzem o risco de uma queimada catastrófica. Diminuem o acúmulo de material inflamável no solo.	Antifrágil	Taleb, Nassim Nicholas
Lembre-se também de que volatilidade é informação. Na verdade, esses sistemas tendem a ser calmos demais e a exibir variabilidade mínima à medida que riscos silenciosos se acumulam sob a superfície.	VOLATILIDADE É INFORMAÇÃO.   Desconfie do silêncio.	Antifrágil	Taleb, Nassim Nicholas
Uma das contingências da vida: não existe estabilidade sem volatilidade.	Não existe estabilidade sem volatilidade. Isso provavelmente se aplica à liberdade de um empresário. Quanto mais abraçar a volatilidade, mais estabilidade terá, em todos os sentidos! Você nunca vai achar a estabilidade no mundo, ele não é estável. Você deve procurar a volatilidade e criar mecanismos para se proteger dela. Desse jeito você se torna estável.	Antifrágil	Taleb, Nassim Nicholas
Minha definição de modernidade é a dominação em larga escala do ambiente por parte dos seres humanos, a suavização sistemática das irregularidades do mundo e o sufocamento da volatilidade e dos estressores. A modernidade corresponde à sistemática extração dos seres humanos de sua ecologia carregada de aleatoriedade — física e social, até mesmo epistemológica. A modernidade não é apenas o período histórico pós-medieval, pós-agrário e pós-feudal conforme definido nos livros didáticos de sociologia. É, antes, o espírito de uma época marcada pela racionalização (o racionalismo ingênuo), a ideia de que a sociedade é compreensível, portanto deve ser concebida, por seres humanos.	Foi na modernidade que o homem achou que sabia mais que Deus, que ele devia controlar o caos da natureza para seu próprio bem.    A modernidade é a suavização das irregularidades da natureza.	Antifrágil	Taleb, Nassim Nicholas
E claro que é possível fazer ciência rigorosa sem teoria. O que os cientistas chamam de fenomenologia é a observação de uma regularidade empírica, sem nenhuma teoria visível para ela. Na Tríade, coloquei as teorias na categoria frágil, e a fenomenologia na categoria robusta.	Teorias = frágeis  Fenomenologia = antifragil	Antifrágil	Taleb, Nassim Nicholas
"Mas também aceito o argumento oposto, o de que regulamentar a sinalização de ruas e estradas aparentemente não reduz os riscos; os motoristas ficam mais complacentes. Experimentos demonstram que o nível de atenção é enfraquecido quando o controle é concedido ao sistema (mais uma vez, a falta de sobrecompensação). Os motoristas precisam de estressores e da tensão ocasionados pela sensação de perigo para alimentar seus controles de cautela e de risco, em vez do estímulo de algum regulador externo — menos pedestres morrem atravessando as ruas fora da faixa de segurança do que as usando."	Uma empresa deve ter processos bem definidos, mas certa quantidade de responsabilidades devem estar totalmente na mão de um funcionário (sobrecompensação). Promovendo estressores.	Antifrágil	Taleb, Nassim Nicholas
"Poucos compreendem que a procrastinação é nossa defesa natural, deixando que as coisas se arranjem sozinhas e coloquem em prática sua antifragilidade; ela resulta de algum nível de sabedoria ecológica ou naturalista, e nem sempre é ruim — em um nível existencial, é meu corpo rebelando-se contra o seu aprisionamento. É minha alma lutando contra a cama de Procusto da modernidade. É bem verdade que, no mundo moderno, minha declaração de imposto de renda não cuidará de si mesma — mas, ao adiar uma visita não imprescindível ao médico ou ao postergar a escrita de um trecho, até que meu corpo me diga que estou pronto para isso, posso estar utilizando um filtro naturalista muito potente. Só escrevo quando tenho vontade, e apenas sobre um assunto sobre o qual tenho vontade de escrever — e o leitor não é bobo. Assim, uso a procrastinação como uma mensagem do meu “eu” interior e do meu profundo passado evolutivo para resistir ao intervencionismo na minha escrita."	O corpo procrastina quando o cérebro não vê motivo para a ação.	Antifrágil	Taleb, Nassim Nicholas
Vimos que a procrastinação nos protege do erro na medida em que dá à natureza a chance de fazer seu trabalho, tendo em mente o inconveniente fato de que a natureza é menos propensa a erros do que os cientistas. Os psicólogos e os economistas que estudam a “irracionalidade” não se dão conta de que os seres humanos podem ter um instinto de procrastinação somente quando não há nenhuma vida em perigo. Eu não procrastino quando vejo um leão entrar no meu quarto ou quando há um incêndio na biblioteca do meu vizinho. Eu não procrastino após sofrer uma lesão grave. Só deixo para depois os deveres e os procedimentos antinaturais.	Somente procrastinamos deveres e procedimentos antinaturais. Por esta visão, para evitar a procrastinação é necessário fazer algo sem pensar, deixar que o cérebro devagar tome conta. Um método de fazer as coisas sem precisar pensar é DESENVOLVER SISTEMAS, passe um tempo desenvolvendo um processo que, após implementado, só necessita de um gatilho para ser executado. Um exemplo são meus hábitos matinais de leitura e resumo de livros e repetição espaçada, organizei todo o sistema para que o esforço fosse mínimo para executá-los.	Antifrágil	Taleb, Nassim Nicholas
Além disso, suponha que a proporção sinal-ruído do que você está observando, com frequência anual, é de cerca de um para um (metade ruído, metade sinal) — isso significa que quase metade das mudanças é melhoria ou degradação real, e a outra metade vem da aleatoriedade. Essa relação é a que você obtém de observações anuais. Mas, se você examinasse os mesmíssimos dados diariamente, a composição mudaria para 95% de ruído e 5% de sinal. E, se você observar as informações de hora em hora, como fazem as pessoas imersas no noticiário e nas variações de preço do mercado, a relação das partes passa a ser de 99,5% de ruído e 0,5% de sinal. Ou seja, duzentas vezes mais ruído do que sinal — essa é a razão pela qual qualquer pessoa que dá ouvidos ao noticiário (exceto quando acontecimentos muito, muito significativos ocorrem) está a apenas um passo de ser um otário.	Quanto mais perto temporalmente do início da informação, maior a chance dela ser um ruído.	Antifrágil	Taleb, Nassim Nicholas
Há nessa história uma dimensão biológica. Venho repetindo que, em um ambiente natural, um estressor é informação. Informação em excesso seria, portanto, estresse em excesso, ultrapassando o limiar da antifragilidade. Na medicina, estamos descobrindo os poderes de cura do jejum — por exemplo, evitar os picos hormonais que acompanham a ingestão de alimentos. Os hormônios transmitem informações para as diferentes partes de nosso sistema, e, em excesso, eles confundem nossa biologia.	Estressores são informações. Informação demais sobrecarrega, é necessário tempo de meditação após certo período de estresse.	Antifrágil	Taleb, Nassim Nicholas
